study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJEB6456	SAMEA2579905	ERS473023	ERX490923	ERR525688	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1780253299;1849446535	cbfbb50d2044f3d908fc7962b28da339;2f079ba12e8267a368d88cfcf15c0883	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525688/ERR525688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525688/ERR525688_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525688/ERR525688_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525688/ERR525688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525688/ERR525688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525688/ERR525688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525688/10_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525688/10_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525688	10_12M	Stool sample from danish
PRJEB6456	SAMEA2579906	ERS473024	ERX490924	ERR525689	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1627035868;1564070082	e56fe531586fdc63b201661f1a3fa094;0ce2f8b1da7a745e3596db6b6dde7959	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525689/ERR525689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525689/ERR525689_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525689/ERR525689_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525689/ERR525689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525689/ERR525689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525689/ERR525689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525689/103_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525689/103_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525689	103_12M	Stool sample from danish
PRJEB6456	SAMEA2579907	ERS473025	ERX490925	ERR525690	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1359470041;1305542158	ca03205d7d7c2462ee67c64e29a3984c;c646369c9612aa49085fb8e9778cc899	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525690/ERR525690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525690/ERR525690_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525690/ERR525690_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525690/ERR525690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525690/ERR525690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525690/ERR525690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525690/103_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525690/103_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525690	103_4M	Stool sample from danish
PRJEB6456	SAMEA2579908	ERS473026	ERX490926	ERR525691	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1665191945;1583032666	d54c4a6627d20a529e0bd2fa10d0afd5;464597f8901b805a153329062c74d774	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525691/ERR525691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525691/ERR525691_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525691/ERR525691_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525691/ERR525691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525691/ERR525691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525691/ERR525691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525691/103_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525691/103_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525691	103_B	Stool sample from danish
PRJEB6456	SAMEA2579909	ERS473027	ERX490927	ERR525692	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1648135390;1584355603	3d48fc4bad2aaa928455314446de39f2;db1b24e87315ae5ff478961db7025085	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525692/ERR525692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525692/ERR525692_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525692/ERR525692_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525692/ERR525692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525692/ERR525692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525692/ERR525692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525692/103_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525692/103_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525692	103_M	Stool sample from danish
PRJEB6456	SAMEA2579910	ERS473028	ERX490928	ERR525693	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1775030815;1831527197	f343463a904c78313755082979ba5132;6c9e8f6242c70d63c23dd00819207949	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525693/ERR525693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525693/ERR525693_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525693/ERR525693_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525693/ERR525693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525693/ERR525693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525693/ERR525693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525693/10_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525693/10_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525693	10_4M	Stool sample from danish
PRJEB6456	SAMEA2579911	ERS473029	ERX490929	ERR525694	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1963573705;1883657869	cdff2b5d66c49c9148c62b60e814c1e0;93e3021d4a5d5951ead22658b375147f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525694/ERR525694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525694/ERR525694_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525694/ERR525694_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525694/ERR525694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525694/ERR525694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525694/ERR525694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525694/105_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525694/105_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525694	105_12M	Stool sample from danish
PRJEB6456	SAMEA2579912	ERS473030	ERX490930	ERR525695	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1497566511;1451378582	1b06074b71dbc8a106fd6ac9d267f9a2;7f607324fcf4f730bead9291f9123175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525695/ERR525695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525695/ERR525695_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525695/ERR525695_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525695/ERR525695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525695/ERR525695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525695/ERR525695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525695/105_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525695/105_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525695	105_4M	Stool sample from danish
PRJEB6456	SAMEA2579913	ERS473031	ERX490931	ERR525696	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1403145081;1366475114	8e84e4b12dd15095125932901c7f7e8f;caa33a9a2abf2d9ee317e2f53b6eb9a5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525696/ERR525696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525696/ERR525696_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525696/ERR525696_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525696/ERR525696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525696/ERR525696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525696/ERR525696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525696/105_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525696/105_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525696	105_B	Stool sample from danish
PRJEB6456	SAMEA2579914	ERS473032	ERX490932	ERR525697	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1938887165;1861559010	ddb5021d47c6e61ccc9c5505ace35a5e;72aad2cafcf54228ea04056b52f0b0b6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525697/ERR525697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525697/ERR525697_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525697/ERR525697_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525697/ERR525697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525697/ERR525697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525697/ERR525697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525697/105_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525697/105_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525697	105_M	Stool sample from danish
