"","Blautia_wexlerae","Blautia_coccoides","Roseburia_faecis","Blautia_sp_CAG_257","Roseburia_hominis","Dorea_formicigenerans","Ruminococcus_gnavus","Tyzzerella_nexilis","Eubacterium_hallii","Gemella_haemolysans","Eubacterium_eligens","Hungatella_hathewayi","Dialister_invisus","Anaerostipes_hadrus","Ruminococcus_bromii","Clostridium_neonatale","Eubacterium_sp_CAG_38","Staphylococcus_aureus","Alistipes_putredinis","Anaerostipes_caccae","Alistipes_finegoldii","Bacteroides_dorei","Roseburia_intestinalis","Roseburia_inulinivorans","Streptococcus_mitis","Bacteroides_ovatus","Staphylococcus_hominis","Enterococcus_faecalis","Rothia_mucilaginosa","Bacteroides_caccae","Streptococcus_sp_A12","Sellimonas_intestinalis","Veillonella_dispar","Veillonella_rogosae","Streptococcus_peroris","Veillonella_parvula","Veillonella_atypica","Bacteroides_fragilis","Bacteroides_vulgatus","Bacteroides_uniformis","Streptococcus_infantis","Lachnospira_pectinoschiza","Lactobacillus_rhamnosus","Staphylococcus_epidermidis","Veillonella_infantium","Staphylococcus_lugdunensis","Clostridium_bolteae_CAG_59","Flavonifractor_plautii","Clostridium_bolteae","Streptococcus_salivarius","Eggerthella_lenta","Clostridium_citroniae","Anaerotruncus_colihominis","Veillonella_sp_T11011_6","Clostridium_aldenense","Clostridium_symbiosum","Enorma_massiliensis","Streptococcus_thermophilus","Streptococcus_parasanguinis","Parabacteroides_merdae","Bacteroides_thetaiotaomicron","Clostridioides_difficile","Clostridium_clostridioforme","Faecalibacterium_prausnitzii","Sutterella_parvirubra","Varibaculum_cambriense","Agathobaculum_butyriciproducens","Parabacteroides_distasonis","Gordonibacter_pamelaeae","_Collinsella__massiliensis","Haemophilus_sputorum","Collinsella_stercoris","Escherichia_coli","Actinomyces_sp_HMSC035G02","Ruthenibacterium_lactatiformans","Collinsella_aerofaciens","Eubacterium_rectale","Fusicatenibacter_saccharivorans","Intestinibacter_bartlettii","Actinomyces_odontolyticus","Klebsiella_oxytoca","Collinsella_intestinalis","Haemophilus_sp_HMSC71H05","Turicibacter_sanguinis","Akkermansia_muciniphila","Actinomyces_sp_oral_taxon_181","Aeriscardovia_aeriphila","Bifidobacterium_breve","Haemophilus_parainfluenzae","Bilophila_wadsworthia","Bifidobacterium_longum","Bifidobacterium_bifidum","Bifidobacterium_dentium","Coprobacillus_cateniformis","Clostridium_innocuum","Intestinimonas_butyriciproducens","Bifidobacterium_adolescentis","Parasutterella_excrementihominis","Clostridium_spiroforme","Bifidobacterium_pseudocatenulatum","Erysipelatoclostridium_ramosum","Group"
"10_12M",0.0164422,0,0.084854,0.0001125,0.0001647,0.0024701,0.0016796,0.0001837,0.0060028,0,0.0374497,0.0001239,0.0025381,0.0280096,0.0218134,0,2.28e-05,0,0,0,0.0403304,0,0,0.0010423,0,0.0568696,0,0,0,0,0,0.0021394,9.98e-05,0.0002614,0,6.08e-05,0.0010995,0.0384168,0.1915222,0.0842522,0,0.0050862,0,0,1.05e-05,0,0,0.0017874,1.39e-05,0.001856,0.0002392,0.0001347,0.0001018,0,0,0.0001506,4.5e-06,0,0,0,0.0200455,0,0.0002637,0.080672,0,0,0.0018163,0.0070811,0.0001217,2.49e-05,2.6e-05,9.03e-05,0.0002628,0,8.17e-05,0.0106329,0.0598623,0.030806,0.0020759,0,0,2.77e-05,0.0014644,1.91e-05,0.0003252,0,4.04e-05,0.0002095,0.0012433,0,0.0131878,0.0156277,0,7.5e-06,0.000377,0,0.049702,0.0040813,4.3e-06,0,0.0001297,"12M"
"103_12M",0.1184471,7.44e-05,0,0,0,0,0.0915982,0.0130103,0,0,0.009721,5.44e-05,0,0.0501701,0,0.0010787,0.0153966,0,0.0001356,6.61e-05,0.3317767,0,0,0.039498,3.39e-05,0,0,0.0001167,0,0,0,0,0,0,0,1.57e-05,0,0,0,0.0001162,0,0,0,0,0,0,0,0.0164288,0.0136453,7.98e-05,0.0071629,0,0.0005933,0,7.08e-05,0.0073978,0,0,3.8e-06,7.54e-05,0,0,0,0.1009388,0,0,0,2.42e-05,0.0012293,0,0,0,5.15e-05,0,0.009763,0,0,0,0.0070879,0,8.08e-05,0,1.29e-05,0.0005661,0,0,0,0,0,0,0,0,0.0003338,0.0028435,0.0095219,0,0,0,0,0,0.0077919,"12M"
"103_4M",0,0,0,0,0,0,0,0,0,0.0001036,0,0,0,0,0,0.0031568,0,0.0005539,3.33e-05,0,6.49e-05,0,0,0,0.0011161,0,0,0.5230615,4.48e-05,0,0,0,0.0003574,0,0.0022029,0.0483739,0,0,0,0,0.0001743,0,0,0,4.04e-05,0,0,0,0,0.0005357,0,0,0,0,0,0,0,0,0.0015233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020183,5.19e-05,0,0,0,0,0,8.25e-05,0.39564,0,0,0,0,0.0005902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4M"
"103_B",0,0,0,0,0,0,0,0,0,0.0012304,0,0,0,0,0,0,0,0.0086259,0,0,0,0,0,0,0.0006337,0,0.0090746,0.2823757,0.0003237,0,0,0,0.0012185,0,0,0.0006031,0,0,0,0,0,0,0.0931862,0.0667292,0.0003925,0.0053726,0,0,0,0.0050679,0,0,0,0.0002573,0,0,0,0,0.0048324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53e-05,0,0,0.0254578,0,0,0,0,0,0,0,8.75e-05,0,0,0,0.3399598,0,0.0274395,0,0,0,0,0,0,0,0,"B"
"10_4M",3.99e-05,0,0.0001708,0,0,0.038302,0,0,0,0,1.48e-05,0,0,1.93e-05,0,0,0,0,0,0,7.39e-05,0,0,0,0.0002105,9.44e-05,0,0.0001062,0.0002501,0,0,0,0.0053135,0,0,0.0007253,3.24e-05,0.6470527,0.0003239,9.84e-05,0,0,0.0006723,0,0.0018942,0,0,0,0,8.5e-06,0.0029114,0,0,0.0001797,0,0,3.39e-05,0,4.36e-05,0,1.42e-05,0,0,0.000106,0,0,0,0,0.0004637,9.52e-05,0,0.0003089,0.0692572,1.17e-05,0,0.033726,4.86e-05,3.08e-05,1.23e-05,3.56e-05,0,4.92e-05,0,0,0,4.9e-05,4.14e-05,0.1050843,0.0008938,0,0.0710376,1.8e-06,0,0,0,0,0.0200026,0,0,0,0,"4M"
"105_12M",0.0005469,0.0005766,0,0,0,0,0.1210341,0,0,0,0,0.0004706,0,0.0130656,0,0.0071631,0,0,0,0,0,0.0473556,0,0,0,0.1814737,0,0,1.05e-05,0,0,0,0.0001793,4.01e-05,0,0.0057435,0,0,0.2283205,0.0657872,0,0,0,0,6.28e-05,0,0.000959,0.0065215,0.0056278,0.0011893,0.0009145,0.0001234,0,0,0.0003503,0.0003279,0,0,0,0,0.1020978,0.0004043,0,0.0435106,8e-04,0,0,0.0348116,9.15e-05,0,2.17e-05,0,0.0069608,0,0.0003053,0,0,0,0.0062929,0,0,0,0.0017876,0,0,0,1.54e-05,0.0130162,0.009282,0,0.0146408,0,0,0.0004213,0.0017861,0,0,0,0,0,0.0031991,"12M"
"105_4M",0,0,0,0,0,0,1.2e-05,0,0,0.0017769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230193,3.54e-05,0.0002367,0.0084858,0.0027657,0,0,0,0.0107203,0,0.0008539,0.0285847,0.0093425,0,6.58e-05,2.17e-05,0.0002494,0,0.0018096,0.0037729,0.0016228,0,0,0,0,0,0.0005198,0,0,0.0003101,0,0,0,0,0.0039679,0,0,0,0,1.92e-05,0,0,0,0,6.36e-05,0,0,0,0.0115054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142,0.7763089,0.0015221,0,0.020891,0,0,0,0,0,0,0,0,0,0.0047762,"4M"
"105_B",0,0,0,0,0,0,0,0,0,5.15e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003816,0,0.0057499,0.0012364,0.0002128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022399,0,0,0,0,0,0.017323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162,0.950988,0,0,0,0,0,0,0,0,0.0014769,0,0,0,0,"B"
"10_B",0,0,0.0001767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26e-05,0,0,0,0,4.02e-05,0,0.0017104,0,0,0,0,0,0,0,0,0,0.8934778,0.0003147,0.0001018,0,0,0,0.0011123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001459,0,0,0,3.6e-06,0,0,0,0,0.0998177,0,0,0,5.15e-05,2.2e-06,4.4e-06,0,0,0,0,0,0,0,0,0,0,0,0.0014096,0,0,0,0,0,0.0001173,0,0,7.1e-06,0,"B"
"1_12M",0.1299377,3.57e-05,0,0.0049462,0,0,0.0362357,1.48e-05,0,0,0,0.0003184,0,0.0400475,0,0,0,0,0,0,0,0.0001173,0,0,9.4e-06,0.4194713,0,0,0,0,0,0,2.76e-05,0,0,0.0005658,0,0.052274,0,0.2124377,0,0,0,0,0,0,0,0.0045019,0.0026607,5.07e-05,0.0003361,0,0,0,0.0004419,0.0013086,0,0,0,0,0,0.0015226,0.0165371,0.0130352,0,0,0,0,4.81e-05,0,0,0,0.0181864,0,0.0008635,4.63e-05,0,0,0,0,0,0,0,0,0,0,0,0.0013397,3.45e-05,0,5.65e-05,0,0,0.0001718,0.0075514,0,8.9e-06,0,0.0002325,0.02219,0.0055665,"12M"
