,Individual,sampling_day,diet_period,apple sauce,peaches,chicken,sweet potatoes,oatmeal,peas,rice,beef
SRR097250,mouse7,6,week1,222.2,0,0,55.6,0,0,666.7,55.6
SRR097317,mouse6,4,week9,0,52.6,421.1,0,0,421.1,105.3,0
SRR097322,mouse1,4,week9,52.6,0,105.3,0,421.1,0,421.1,0
SRR097266,mouse5,1,week1,0,0,0,55.6,666.7,0,222.2,55.6
SRR097310,mouse6,6,week9,0,52.6,421.1,0,0,421.1,105.3,0
SRR097320,mouse3,4,week9,0,0,105.3,421.1,0,52.6,421.1,0
SRR097293,mouse2,4,week11,250,0,0,0,250,0,250,250
SRR097390,mouse4,6,week3,0,666.7,0,0,55.6,222.2,55.6,0
SRR097254,mouse2,6,week1,0,222.2,55.6,0,55.6,666.7,0,0
SRR097277,mouse2,7,week11,250,0,0,0,250,0,250,250
SRR097331,mouse8,7,week7,0,55.6,0,55.6,0,666.7,222.2,0
SRR097318,mouse5,4,week9,0,0,105.3,421.1,421.1,0,52.6,0
SRR097283,mouse4,6,week11,0,250,0,250,0,0,250,250
SRR097397,mouse1,4,week3,666.7,222.2,55.6,55.6,0,0,0,0
SRR097324,mouse7,1,week9,0,421.1,0,0,105.3,0,52.6,421.1
SRR097354,mouse3,1,week7,0,666.7,0,0,0,222.2,55.6,55.6
SRR097276,mouse3,7,week11,0,250,0,250,250,0,250,0
SRR097376,mouse6,1,week5,666.7,55.6,55.6,0,0,0,0,222.2
SRR097291,mouse4,4,week11,0,250,0,250,0,0,250,250
SRR097295,mouse7,1,week11,250,0,0,0,250,0,250,250
SRR097273,mouse6,7,week11,0,0,250,0,250,250,0,250
SRR097316,mouse7,4,week9,0,421.1,0,0,105.3,0,52.6,421.1
SRR097244,mouse7,7,week1,222.2,0,0,55.6,0,0,666.7,55.6
SRR097369,mouse6,4,week5,666.7,55.6,55.6,0,0,0,0,222.2
SRR097248,mouse3,7,week1,0,0,222.2,666.7,0,55.6,0,55.6
SRR097326,mouse5,1,week9,0,0,105.3,421.1,421.1,0,52.6,0
SRR097311,mouse5,6,week9,0,0,105.3,421.1,421.1,0,52.6,0
SRR097314,mouse1,6,week9,52.6,0,105.3,0,421.1,0,421.1,0
SRR097313,mouse3,6,week9,0,0,105.3,421.1,0,52.6,421.1,0
SRR097347,mouse3,4,week7,0,666.7,0,0,0,222.2,55.6,55.6
SRR097275,mouse4,7,week11,0,250,0,250,0,0,250,250
SRR097328,mouse3,1,week9,0,0,105.3,421.1,0,52.6,421.1,0
SRR097319,mouse4,4,week9,0,421.1,0,105.3,421.1,0,0,52.6
SRR097388,mouse1,7,week3,666.7,222.2,55.6,55.6,0,0,0,0
SRR097365,mouse4,6,week5,666.7,0,55.6,0,222.2,0,0,55.6
SRR097330,mouse1,1,week9,52.6,0,105.3,0,421.1,0,421.1,0
SRR097329,mouse2,1,week9,421.1,0,0,0,421.1,0,52.6,105.3
SRR097298,mouse4,1,week11,0,250,0,250,0,0,250,250
SRR097345,mouse6,4,week7,0,222.2,666.7,0,55.6,0,55.6,0
SRR097361,mouse4,7,week5,666.7,0,55.6,0,222.2,0,0,55.6
SRR097302,mouse7,7,week9,0,421.1,0,0,105.3,0,52.6,421.1
SRR097301,mouse1,1,week11,0,0,250,0,250,250,0,250
SRR097290,mouse5,4,week11,250,250,0,250,0,0,0,250
SRR097308,mouse8,6,week9,52.6,0,421.1,0,0,105.3,0,421.1
SRR097391,mouse3,6,week3,0,0,222.2,666.7,0,55.6,0,55.6
SRR097389,mouse5,6,week3,0,0,0,55.6,666.7,0,222.2,55.6
SRR097370,mouse5,4,week5,666.7,222.2,55.6,0,0,0,55.6,0
SRR097378,mouse4,1,week5,666.7,0,55.6,0,222.2,0,0,55.6
SRR097380,mouse2,1,week5,0,222.2,666.7,0,0,0,55.6,55.6
SRR097287,mouse8,4,week11,250,250,250,0,0,0,250,0
SRR097269,mouse2,1,week1,0,222.2,55.6,0,55.6,666.7,0,0
SRR097312,mouse4,6,week9,0,421.1,0,105.3,421.1,0,0,52.6
SRR097279,mouse8,6,week11,250,250,250,0,0,0,250,0
SRR097350,mouse8,1,week7,0,55.6,0,55.6,0,666.7,222.2,0
SRR097306,mouse2,7,week9,421.1,0,0,0,421.1,0,52.6,105.3
SRR097252,mouse4,6,week1,0,666.7,0,0,55.6,222.2,55.6,0
SRR097304,mouse4,7,week9,0,421.1,0,105.3,421.1,0,0,52.6
SRR097366,mouse1,6,week5,0,55.6,0,666.7,222.2,55.6,0,0
SRR097278,mouse1,7,week11,0,0,250,0,250,250,0,250
SRR097303,mouse6,7,week9,0,52.6,421.1,0,0,421.1,105.3,0
SRR097288,mouse7,4,week11,250,0,0,0,250,0,250,250
SRR097399,mouse7,1,week3,222.2,0,0,55.6,0,0,666.7,55.6
