,Blautia coccoides,Lactococcus lactis,Bacteroides ovatus,Bacteroides caccae,Blautia hydrogenotrophica,Clostridium symbiosum,Marvinbryantia formatexigens,Bacteroides thetaiotaomicron,Escherichia coli,Collinsella aerofaciens,Eubacterium rectale,Desulfovibrio piger
SRR097250,0.0382745,0,0.3376145,0.1308743,0.0083118,0.023849,0.0358059,0.3061798,0.0294146,0.0026951,0.0858233,0.0011571
SRR097317,0.0406454,0,0.2250578,0.1240401,0.0293801,0.0226583,0.0298784,0.4763706,0.0107932,0.003151,0,0
SRR097322,0.0505115,0,0.435875,0.1813912,0.0153925,0.0224701,0.032918,0.1831409,0.0162965,0.0064274,0.0392492,0.0015788
SRR097266,0.0196234,0.0018564,0.5271867,0.1359291,0.0123616,0.0153973,0.044964,0.1981193,0.0145957,0.0009219,0.0290445,0
SRR097310,0.0440635,0,0.271055,0.0804464,0.0300957,0.0232746,0.0303674,0.4812459,0.0115703,0.0040555,0.0019416,0.0004605
SRR097320,0.160861,0,0.1515238,0.2002988,0.023774,0.0140263,0.0104899,0.3965391,0.0414928,0.0006694,0,0.0003249
SRR097293,0.0608414,0,0.30469,0.1495336,0.0261794,0.0241144,0.0350424,0.2370226,0.0215819,0.0046512,0.1001156,0.0012392
SRR097390,0.0402632,0,0.3530754,0.0948972,0.0139699,0.0145471,0.0432706,0.3239895,0.0193056,0.0021468,0.0945347,0
SRR097254,0.0644345,0,0.2879635,0.0629376,0.0264131,0.013263,0.0252077,0.3681954,0.0129642,0.0005354,0.1380856,0
SRR097277,0.0204126,0,0.4814169,0.1073467,0.0235259,0.0244925,0.0233865,0.2111043,0.0111272,0.004277,0.0776121,0
SRR097331,0.1034342,0,0.2142615,0.087228,0.0163759,0.01504,0.0115993,0.479338,0.0272789,0,0.0454442,0
SRR097318,0.0669021,0,0.3074904,0.1169979,0.0186301,0.0153182,0.0236088,0.3542331,0.0353585,0.0038947,0.0563754,0.0011909
SRR097283,0.0599071,0,0.2654695,0.2222695,0.0023011,0.0177979,0.0082724,0.3793134,0.0195189,0.0056101,0,0
SRR097397,0.0264708,0,0.3379594,0.0939108,0.0125466,0.0161616,0.0688813,0.3274903,0.0104829,0.004432,0.1016644,0
SRR097324,0.0226246,0.0006395,0.3553493,0.1416928,0.0252636,0.0250837,0.026685,0.2791055,0.0700199,0.0062049,0.0468509,0.0004803
SRR097354,0.0283044,0,0.3380404,0.1310747,0.0179991,0.017969,0.0384339,0.2815783,0.0220267,0.0016166,0.1212157,0.0006008
SRR097276,0.0767053,0,0.3743989,0.0929308,0.0074427,0.0096451,0.0279266,0.2886061,0.0228011,0.0039624,0.0796484,0
SRR097376,0.0270666,0,0.4844303,0.0976358,0.0169011,0.0094934,0.0242221,0.2148485,0.0098219,0.0023621,0.1132181,0
SRR097291,0.0456417,0,0.3040795,0.169473,0.0166588,0.0198813,0.0085383,0.3638025,0.0177616,0.0058904,0.0249309,0.000872
SRR097295,0.056299,0.0032797,0.3840445,0.1697898,0.0189966,0.0219646,0.0189677,0.223968,0.0325394,0.0043138,0.031491,0.0013803
SRR097273,0.0192693,0,0.4216789,0.0971926,0.0271231,0.0234688,0.0086154,0.3216245,0.0087587,0.0051656,0.0281432,0.0006376
SRR097316,0.0627954,0,0.2838212,0.1512669,0.0308938,0.015224,0.0274334,0.3170051,0.0398035,0.0074733,0.0362303,0
SRR097244,0.0382654,0,0.3605401,0.0963941,0.010111,0.0256926,0.041361,0.3171508,0.0277743,0.0017841,0.0804623,0.0004643
SRR097369,0.0474188,0,0.3901405,0.0661863,0.023798,0.0244202,0.0288582,0.2791458,0.0027055,0.0034348,0.133892,0
SRR097248,0.0308939,0,0.3428808,0.0808393,0.0262609,0.0311169,0.0233468,0.4489714,0.0145605,0.0011293,0,0
SRR097326,0.052693,0,0.3630473,0.2274122,0.0112816,0.015043,0.0321396,0.254867,0.0256175,0.0014074,0.0164913,0
SRR097311,0.076758,0,0.4374328,0.093953,0.0095705,0.0124579,0.0237275,0.2747373,0.0223524,0.0011948,0.0478159,0
SRR097314,0.0804146,0,0.5093172,0.1095767,0.0180463,0.0200496,0.0255076,0.1417044,0.0155477,0.0030202,0.0723012,0.0002213
SRR097313,0.061487,0,0.2543956,0.1690054,0.013866,0.0239912,0.0073043,0.4409514,0.0236777,0.002898,0.0006876,0.0017359
SRR097347,0.0287488,0,0.3023832,0.1662312,0.0152872,0.0063689,0.0590216,0.3460042,0.0182125,0.0015419,0.0562004,0
SRR097275,0.0488835,0,0.3222532,0.219991,0.0123622,0.0253075,0.0145762,0.309272,0.0203703,0.0053875,0.0034211,0
SRR097328,0.0740238,0.0038877,0.2231732,0.3143908,0.0216496,0.0220715,0.0270748,0.2752518,0.0280408,0.0031075,0.0031305,0.004198
SRR097319,0.0368326,0,0.430747,0.1139814,0.0074682,0.0137552,0.0219707,0.2221746,0.0111622,0.0004331,0.1259457,0
SRR097388,0.0271787,0,0.3325621,0.0761472,0.0105075,0.0109809,0.0632224,0.3723918,0.0099468,0.0020765,0.0949861,0
SRR097365,0.0329289,0,0.3708209,0.0561806,0.0068299,0.0124297,0.0468026,0.2255372,0.0114421,0,0.2370282,0
SRR097330,0.058078,0.0006538,0.4763602,0.1589497,0.021983,0.0224759,0.0503502,0.1488964,0.0285143,0.0067026,0.0220283,0.0048086
SRR097329,0.0215708,0.0001124,0.4092677,0.1339542,0.0122188,0.0173611,0.0259516,0.2030415,0.0496476,0.0017986,0.1233806,0.0016951
SRR097298,0.0557031,0,0.275048,0.2491118,0.0230436,0.02262,0.0117872,0.273799,0.0134214,0.0070981,0.0383725,0.0018903
SRR097345,0.0248717,0,0.3012077,0.1321427,0.0199923,0.0240594,0.0193265,0.4140779,0.0312041,0.0109996,0.0221181,0
SRR097361,0.0205103,0,0.499209,0.0705269,0.0056398,0.0176162,0.024554,0.2370773,0.0064179,0,0.1184485,0
SRR097302,0.0279657,0,0.4137559,0.0687357,0.0231308,0.0172637,0.0165979,0.3112073,0.0196962,0.0044288,0.080227,0
SRR097301,0.0842296,0.0006932,0.2614723,0.1950262,0.0231279,0.0223243,0.0300533,0.3077249,0.0245385,0.0047561,0.0098079,0.0016411
SRR097290,0.0371533,0,0.3781981,0.0996477,0.0241828,0.0188586,0.0234651,0.3321931,0.0073159,0.0023306,0.0591865,0
SRR097308,0.0178238,0,0.1101537,0.3673217,0.0195915,0.0240131,0.0066472,0.3682338,0.0272392,0.0012271,0,0
SRR097391,0.0623214,0,0.287335,0.1380328,0.0116844,0.0246983,0.0195734,0.4287804,0.0212133,0.0063611,0,0
SRR097389,0.1002444,0,0.5681332,0.0774855,0,0.0154772,0.0059868,0.1592543,0.0277975,0.0009946,0.0446266,0
SRR097370,0.0259887,0,0.3442191,0.0442938,0.0065857,0.0077255,0.0363626,0.1781523,0.0078741,0,0.3487982,0
SRR097378,0.022453,0,0.414784,0.1468675,0.009574,0.0160708,0.0269639,0.2490744,0.0086325,0.0009537,0.1044614,0.0001648
SRR097380,0.0198237,0,0.2678173,0.1885488,0.0403535,0.0312554,0.0234615,0.3529827,0.0594662,0.0083128,0.0075712,0.0004069
SRR097287,0.055416,0,0.3423608,0.1477951,0.0209347,0.0150291,0.0203866,0.2835196,0.011945,0.0027152,0.078319,0
SRR097269,0.0442928,0.0005842,0.2635929,0.1482656,0.0222141,0.0180012,0.0315629,0.3801399,0.032855,0.0021726,0.0553634,0.0009556
SRR097312,0.035493,0,0.4624242,0.0773641,0.0114945,0.0090141,0.014632,0.2117592,0.0060739,0.001101,0.1622125,0
SRR097279,0.025094,0,0.3077071,0.2224299,0.0212412,0.0141621,0.0203719,0.2884603,0.0086951,0.0040291,0.0488581,0
SRR097350,0.028604,0,0.3319188,0.1355285,0.0155037,0.0132111,0.0259473,0.4170404,0.0227534,0.0008615,0.0080287,0.0006026
SRR097306,0.0292174,0,0.4405216,0.0576327,0.0112993,0.0138928,0.0408718,0.2074788,0.0106412,0.0039112,0.1748636,0.0002472
SRR097252,0.0640625,0,0.3203395,0.1077163,0.0016562,0.0356638,0.0208515,0.3676162,0.0621969,0.001819,0.0180782,0
SRR097304,0.0402332,0,0.4489485,0.0609889,0.0121112,0.0080969,0.0129443,0.1874427,0.0021556,0.003012,0.2168827,0
SRR097366,0.0430678,0,0.4713436,0.1182702,0.008956,0.0136905,0.0100053,0.2760303,0.0052331,0.0023387,0.0508835,0
SRR097278,0.0119176,0,0.3922551,0.0979627,0.0356,0.0414499,0.0057222,0.3329034,0.010792,0.0043981,0.0169821,0
SRR097303,0.0464918,0,0.2927408,0.082702,0.0288588,0.0215288,0.0305359,0.4418723,0.0097646,0,0.0020734,0
SRR097288,0.0456235,0,0.3684292,0.1741792,0.0167222,0.0224655,0.0191134,0.2422954,0.0175177,0.0055857,0.0644645,0.0009602
SRR097399,0.0329485,0,0.3710956,0.1547887,0.0122174,0.0136165,0.0218248,0.2505737,0.0709748,0.0008756,0.0710844,0
