,Blautia coccoides,Lactococcus lactis,Bacteroides ovatus,Bacteroides caccae,Blautia hydrogenotrophica,Clostridium symbiosum,Marvinbryantia formatexigens,Bacteroides thetaiotaomicron,Escherichia coli,Collinsella aerofaciens,Eubacterium rectale,Desulfovibrio piger
SRR096952,0,0.007374,0.0769573,0.3832136,0.040967,0.0606351,0.1291461,0.1969511,0.0516646,0.0228613,0.0103216,0.0195575
SRR096955,0,0.0013358,0.1084009,0.312497,0.0390113,0.0258264,0.1814161,0.1977361,0.1016299,0.0078717,0.0131807,0.0110941
SRR096956,0,0.0411996,0.092562,0.3512171,0.0500179,0.049707,0.1166258,0.1836541,0.0612187,0.0170463,0.0185802,0.0176347
SRR096957,0,0,0.145162,0.1664471,0.0219929,0.1247887,0.2178982,0.0755095,0.043505,0.0747735,0.0062825,0.1188618
SRR096958,0,0.0140255,0.0948752,0.3949282,0.0366696,0.0466756,0.1269652,0.2076472,0.0359683,0.025695,0.0081391,0.008193
SRR096959,0,0.0193942,0.1143018,0.5608174,0.018423,0.030317,0.0221875,0.2032322,0.0228356,0.0025237,0.0017459,0.0042215
SRR096960,0,0.0007226,0.1671369,0.4857255,0.0020112,0.0303535,0.0033042,0.250587,0.0574317,0,0,0.0027274
SRR096961,0,0,0.2570101,0.3707539,0.0380738,0.0369141,0.0309786,0.2288876,0.0099116,0.0126223,0.0148481,0
SRR096962,0,0.0702725,0.0970395,0.4637542,0.0215308,0.0530424,0.0390288,0.1765881,0.0468606,0.0318832,0,0
SRR096963,0,0.0602862,0.0825062,0.5397201,0.0092889,0.0254216,0.0500101,0.204643,0.0281239,0,0,0
SRR096964,0,0.0209767,0.0776004,0.2965982,0.0228037,0.0610079,0.2372784,0.1348228,0.0497947,0.0284526,0.0092013,0.0614635
SRR096965,0,0.012387,0.1048627,0.4413488,0.0260394,0.041497,0.0835585,0.1749248,0.0560883,0.0158634,0.0148987,0.027144
SRR096966,0,0.0245008,0.0995053,0.4127758,0.0234984,0.0312916,0.0570263,0.2982466,0.0356666,0.0065268,0.0060361,0.0048546
SRR096967,0,0,0.0310338,0.1383265,0.0231804,0.1552013,0.2392243,0.0759872,0.1727227,0.0459737,0,0.1161214
SRR096968,0,0,0.0878315,0.3674737,0.0250563,0.0454485,0.1466512,0.1988157,0.0519257,0.0296102,0.0209005,0.0262867
SRR096969,0,0.0029215,0.1814711,0.4595827,0.0115595,0.0293793,0.0451692,0.2198166,0.0351688,0.0039006,0.0053162,0.0057146
SRR096970,0,0,0.0638307,0.5021671,0,0.0311402,0.1500808,0.2097756,0.0260205,0.0039464,0,0.0130388
SRR096971,0,0.0121281,0.0753276,0.3341619,0.0156352,0.0440322,0.2233447,0.1732605,0.0348295,0.0292793,0.0056531,0.0523477
SRR096972,0,0,0.0328924,0.1393889,0.0219443,0.0580014,0.1789389,0.0557637,0.3916842,0.049532,0.0080226,0.0567183
SRR096973,0,0.0184484,0.1266796,0.5087976,0.0219986,0.0525504,0.032815,0.2035673,0.0268215,0.0017221,0.0020053,0.0045941
SRR096974,0,0.0186452,0.1812448,0.2986081,0.0329664,0.0542911,0.0578284,0.1823678,0.085287,0.0466091,0.0237049,0.0159088
SRR096975,0,0.0238725,0.1423363,0.4018586,0.0254081,0.055242,0.0942377,0.16529,0.0400043,0.0231536,0.0064265,0.0200486
SRR096976,0,0.0080312,0.0596882,0.2290212,0.0146327,0.0528257,0.2674807,0.0797584,0.0528088,0.1009843,0.0096745,0.1178079
SRR096977,0,0.0013988,0.1215663,0.257238,0.0496682,0.1146888,0.1752502,0.0824363,0.1041383,0.0376277,0.0080083,0.0424444
SRR096978,0,0.0006942,0.1441932,0.4040538,0.0048316,0.0655192,0.0008469,0.1834039,0.1892629,0.0021597,0,0.0050347
SRR096979,0,0.0018964,0.0732918,0.30355,0.0318881,0.0709249,0.1146809,0.192751,0.1234224,0.0334632,0.0146047,0.0382802
SRR096980,0,0.0043661,0.0676234,0.5058295,0.0243539,0.0331311,0.076641,0.2238031,0.0297446,0.0058712,0.0166722,0.0119641
SRR096981,0,0.0148964,0.1824059,0.353327,0.0309958,0.0722203,0.0704733,0.1435614,0.0849366,0.0310722,0.0034189,0.0115263
SRR096982,0,0.0258711,0.1613111,0.4320099,0.027279,0.0363014,0.0582886,0.1833807,0.0363102,0.022805,0.0077771,0.0077807
SRR096983,0,0,0.0342357,0.1693508,0.0116081,0.2023422,0.1492185,0.0818064,0.152145,0.0418366,0,0.1574567
SRR096984,0,0.1090757,0.1678563,0.4124237,0.0100527,0.016359,0.0761571,0.194795,0.0036518,0,0,0.0096287
SRR096985,0,0.0094122,0.1069066,0.4583883,0.0129169,0.0665986,0.0622138,0.1777244,0.0806756,0.0161244,0,0.0090393
