Sample	raw single	trimmed single	decontaminated mouse_C57BL_6NJ single	final single
SRR096952	1815429.0	1763403.0	1726564.0	1726564.0
SRR096955	387489.0	363297.0	325401.0	325401.0
SRR096956	1394531.0	1348328.0	1259048.0	1259048.0
SRR096957	471860.0	435647.0	427771.0	427771.0
SRR096958	854630.0	840241.0	636438.0	636438.0
SRR096959	1476760.0	1468547.0	1413600.0	1413600.0
SRR096960	2070643.0	2003957.0	1867487.0	1867487.0
SRR096961	294998.0	285349.0	277497.0	277497.0
SRR096962	237593.0	205235.0	183775.0	183775.0
SRR096963	151262.0	136621.0	131316.0	131316.0
SRR096964	836280.0	775262.0	737293.0	737293.0
SRR096965	2749886.0	2677231.0	2481676.0	2481676.0
SRR096966	2908524.0	2846717.0	2681593.0	2681593.0
SRR096967	381011.0	372241.0	343899.0	343899.0
SRR096968	1206327.0	1178322.0	1059578.0	1059578.0
SRR096969	2208522.0	2138446.0	1987026.0	1987026.0
SRR096970	225311.0	140464.0	97477.0	97477.0
SRR096971	435960.0	377161.0	353541.0	353541.0
SRR096972	728611.0	713486.0	643494.0	643494.0
SRR096973	1701736.0	1617221.0	1505341.0	1505341.0
SRR096974	1105747.0	1035479.0	1019198.0	1019198.0
SRR096975	1848076.0	1820484.0	1762750.0	1762750.0
SRR096976	530827.0	490075.0	439973.0	439973.0
SRR096977	1055168.0	1014903.0	991825.0	991825.0
SRR096978	1559496.0	1513999.0	1405803.0	1405803.0
SRR096979	2590072.0	2503508.0	2266410.0	2266410.0
SRR096980	2045242.0	1989228.0	1805372.0	1805372.0
SRR096981	2148521.0	2092809.0	2063324.0	2063324.0
SRR096982	2710223.0	2641027.0	2557458.0	2557458.0
SRR096983	409577.0	396202.0	343448.0	343448.0
SRR096984	2285023.0	2156147.0	2118568.0	2118568.0
SRR096985	661280.0	638914.0	619657.0	619657.0
SRR096986	1971099.0	1880709.0	1771049.0	1771049.0
SRR096987	609443.0	568757.0	539926.0	539926.0
SRR096998	2559652.0	2507054.0	2288361.0	2288361.0
SRR096999	844285.0	819622.0	763128.0	763128.0
SRR097000	1836731.0	1757093.0	1529853.0	1529853.0
SRR097001	914662.0	861185.0	706213.0	706213.0
SRR097002	1434487.0	1393351.0	1278642.0	1278642.0
SRR097003	1910086.0	1875483.0	1756687.0	1756687.0
SRR097004	1420203.0	1385209.0	1336115.0	1336115.0
SRR097005	2276306.0	2220734.0	1905739.0	1905739.0
SRR097006	425492.0	411466.0	402441.0	402441.0
SRR097007	2345989.0	2294734.0	2122194.0	2122194.0
SRR097008	184235.0	175289.0	166652.0	166652.0
SRR097009	1103246.0	1030114.0	980901.0	980901.0
SRR097010	1499703.0	1465130.0	1408744.0	1408744.0
SRR097011	630019.0	609165.0	572593.0	572593.0
SRR097012	668713.0	611313.0	582217.0	582217.0
SRR097013	554484.0	495732.0	486962.0	486962.0
SRR097014	952158.0	928763.0	889866.0	889866.0
SRR097015	264926.0	261981.0	245532.0	245532.0
SRR097016	275967.0	270182.0	246337.0	246337.0
SRR097017	1280309.0	1230152.0	1199764.0	1199764.0
SRR097018	915524.0	876134.0	821304.0	821304.0
SRR097019	2176623.0	2135317.0	2068628.0	2068628.0
SRR097020	185430.0	154214.0	143278.0	143278.0
SRR097021	1318434.0	1291594.0	1173481.0	1173481.0
SRR097022	1038834.0	1009271.0	915666.0	915666.0
SRR097023	997730.0	972323.0	784120.0	784120.0
SRR097024	95682.0	64542.0	55564.0	55564.0
SRR097025	990859.0	531380.0	479886.0	479886.0
SRR097026	359226.0	300370.0	282263.0	282263.0
SRR097027	3216266.0	3116970.0	3040454.0	3040454.0
SRR097028	943038.0	903691.0	804742.0	804742.0
SRR097029	1238163.0	1206599.0	1160370.0	1160370.0
SRR097030	721147.0	679398.0	536158.0	536158.0
