	mouse1	mouse2	mouse3	mouse4	mouse5	mouse6	mouse7	mouse8	g/kg
week1	apple sauce	peas	sweet potatoes	peaches	oatmeal	sweet potatoes	rice	beef	666.7
week1	peaches	peaches	chicken	peas	rice	apple sauce	apple sauce	peaches	222.2
week1	chicken	chicken	beef	oatmeal	beef	beef	sweet potatoes	sweet potatoes	55.6
week1	sweet potatoes	oatmeal	peas	rice	sweet potatoes	peaches	beef	rice	55.6
week2	TD.09052	TD.09623	TD.09621	TD.09622	TD.09620	TD.09624	TD.09625	TD.09054	Refined Diet
week3	apple sauce	peas	sweet potatoes	peaches	oatmeal	sweet potatoes	rice	beef	666.7
week3	peaches	peaches	chicken	peas	rice	apple sauce	apple sauce	peaches	222.2
week3	chicken	chicken	beef	oatmeal	beef	beef	sweet potatoes	sweet potatoes	55.6
week3	sweet potatoes	oatmeal	peas	rice	sweet potatoes	peaches	beef	rice	55.6
week4	TD.09620	TD.09623	TD.09621	TD.09622	TD.09625	TD.09624	TD.09052	TD.09054	Refined Diet
week5	sweet potatoes	chicken	beef	apple sauce	apple sauce	apple sauce	peas	peaches	666.7
week5	oatmeal	peaches	rice	oatmeal	peaches	beef	apple sauce	oatmeal	222.2
week5	peaches	beef	peas	chicken	chicken	chicken	sweet potatoes	sweet potatoes	55.6
week5	peas	rice	chicken	beef	rice	peaches	peaches	chicken	55.6
week6	TD.09049	TD.09053	TD.09050	TD.09056	TD.09058	TD.09053	TD.09051	TD.09059	Refined Diet
week7	peas	chicken	peaches	peaches	peas	chicken	sweet potatoes	peas	666.7
week7	rice	sweet potatoes	peas	peas	chicken	peaches	rice	rice	222.2
week7	apple sauce	rice	rice	apple sauce	oatmeal	rice	peaches	sweet potatoes	55.6
week7	beef	oatmeal	beef	chicken	sweet potatoes	oatmeal	beef	peaches	55.6
week8	TD.09053	TD.09051	TD.09059	TD.09053	TD.09050	TD.09049	TD.09058	TD.09056	Refined Diet
week9	oatmeal	oatmeal	sweet potatoes	peaches	sweet potatoes	peas	peaches	chicken	421.1
week9	rice	apple sauce	rice	oatmeal	oatmeal	chicken	beef	beef	421.1
week9	chicken	beef	chicken	sweet potatoes	chicken	rice	oatmeal	peas	105.3
week9	apple sauce	rice	peas	beef	rice	peaches	rice	apple sauce	52.6
week10	TD.09053	TD.09053	TD.09053	TD.09055	TD.09057	TD.09055	TD.09057	TD.09053	Refined Diet
week11	peas	apple sauce	peaches	sweet potatoes	sweet potatoes	beef	apple sauce	apple sauce	250
week11	oatmeal	rice	oatmeal	beef	apple sauce	peas	oatmeal	rice	250
week11	beef	oatmeal	rice	peaches	peaches	chicken	rice	peaches	250
week11	chicken	beef	sweet potatoes	rice	beef	oatmeal	beef	chicken	250
