Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_source,source_name,SRA Study,diet,Time,quality_book_char (run)
SRR094681,OTHER,36,958013496,PRJNA136593,SAMN00191528,408084199,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038834,GSM656923,Illumina Genome Analyzer II,GSM656923: D3_10_m1,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656923,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09050,mouse feces,SRP005394,,,
SRR094682,OTHER,36,810947268,PRJNA136593,SAMN00191529,338080793,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038835,GSM656924,Illumina Genome Analyzer II,GSM656924: D3_10_m2,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656924,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09055,mouse feces,SRP005394,,,@
SRR094683,OTHER,36,769503024,PRJNA136593,SAMN00191530,332460499,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038836,GSM656925,Illumina Genome Analyzer II,GSM656925: D3_10_m3,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656925,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09051,mouse feces,SRP005394,,,
SRR094684,OTHER,36,867126132,PRJNA136593,SAMN00191531,372936067,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038837,GSM656926,Illumina Genome Analyzer II,GSM656926: D3_10_m4,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656926,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09058,mouse feces,SRP005394,,,
SRR094685,OTHER,36,1143384408,PRJNA136593,SAMN00191532,509616019,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038838,GSM656927,Illumina Genome Analyzer II,GSM656927: D3_10_m5,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656927,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09054,mouse feces,SRP005394,,,
SRR094686,OTHER,36,848435796,PRJNA136593,SAMN00191533,411489035,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038839,GSM656928,Illumina Genome Analyzer II,GSM656928: D3_10_m6,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656928,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09057,mouse feces,SRP005394,,,
SRR094687,OTHER,36,711701820,PRJNA136593,SAMN00191534,297922530,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038840,GSM656929,Illumina Genome Analyzer II,GSM656929: D3_10_m7,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656929,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09059,mouse feces,SRP005394,,,
SRR094688,OTHER,36,1120303404,PRJNA136593,SAMN00191535,513275819,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038841,GSM656930,Illumina Genome Analyzer II,GSM656930: D3_10_m8,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656930,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09049,mouse feces,SRP005394,,,
SRR094689,OTHER,36,1002193416,PRJNA136593,SAMN00191536,570049688,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038842,GSM656931,Illumina Genome Analyzer II,GSM656931: D3_10_m9,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656931,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09059,mouse feces,SRP005394,,,
SRR094690,OTHER,36,1003057524,PRJNA136593,SAMN00191537,542012362,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038843,GSM656932,Illumina Genome Analyzer II,GSM656932: D3_10_m10,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656932,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09056,mouse feces,SRP005394,,,@
