Harlan Teklad Diet Number:	TD.09049	TD.09050	TD.09051	TD.09052	TD.09053	TD.09054	TD.09055	TD.09056	TD.09057	TD.09058	TD.09059	TD.09620	TD.09621	TD.09622	TD.09623	TD.09624	TD.09625
	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg	g/kg
Casein	69	230	460	69	230	460	69	230	460	230	230	138	345	138	345	35	690
L-Cystine	0.9	3	6	0.9	3	6	0.9	3	6	3	3	1.8	4.5	1.8	4.5	45	9
Sucrose	675.88	514.13	283.08	633.46	471.66	240.66	473.98	312.38	81.38	171.66	571.66	585.425	377.525	484.52	276.42	667.61	108.11
Corn Starch	100	100	100	100	100	100	100	100	100	400	0	100	100	100	100	100	0
Maltodextrin Lo-Dex 10	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
Cellulose (Fiber)	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
Corn Oil	10	10	10	50	50	50	200	200	200	50	50	30	30	125	125	50	50
79055 Mineral mix Ca-P Deficient	12.73	12.73	12.73	13.4	13.4	13.4	16.08	16.08	16.08	13.4	13.4	13.06	13.06	14.74	14.74	13.4	13.4
Calcium Carbonate	2.6	6.25	11.3	2.6	6.4	11.3	3	6.5	11.6	6.4	6.4	4.2	8.8	4.5	9	1.9	12.25
Calcium Phosphate	12.5	7.5	0.5	13.4	8.3	1.4	16.4	11.4	4.3	8.3	8.3	10.7	4.3	12.5	6.4	14.4	0
40077 Vitamin mix	14.25	14.25	14.25	15	15	15	18	18	18	15	15	14.625	14.625	16.5	16.5	15	15
Choline Bitartrate	2.1	2.1	2.1	2.2	2.2	2.2	2.6	2.6	2.6	2.2	2.2	2.15	2.15	2.4	2.4	2.2	2.2
Ethoxyquin (Liquid)	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
Protein (% by weight)	6.1	20.3	40.6	6.1	20.3	40.6	6.1	20.3	40.6	20.3	20.3	12.2	30.5	12.2	30.5	3.1	60.9
Protein (% of kcal)	6.7	22.7	46.5	6.3	21.5	44.1	5.3	18	36.8	22.2	21.3	13.1	33.5	11.7	29.7	3.2	67.1
Carbohydrate (% by weight)	82.7	66.6	43.5	78.6	62.4	39.3	62.9	46.8	23.7	59.4	63.4	73.7	52.9	63.8	43	82	17
Carbohydrate  (% of kcal)	90.7	74.3	49.7	81.8	66	42.6	55.1	41.5	21.4	64.9	66.4	79.4	58.1	61.1	41.9	85.1	18.7
Fat (% by weight)	1.1	1.2	1.5	5.1	5.2	5.5	20.1	20.2	20.5	5.2	5.2	3.1	3.4	12.6	12.9	5	5.7
Fat (% of kcal)	2.6	3.1	3.8	11.9	12.5	13.3	39.6	40.4	41.7	12.9	12.3	7.5	8.4	27.2	28.3	11.7	14.1
kcal/g diet	3.6	3.6	3.5	3.8	3.8	3.7	4.6	4.5	4.4	3.7	3.8	3.7	3.6	4.2	4.1	3.9	3.6
