,Blautia obeum,Dorea sp CAG 317,Dorea longicatena,Blautia wexlerae,Blautia sp CAG 257,Roseburia faecis,Dorea formicigenerans,Roseburia hominis,Ruminococcus gnavus,Gemmiger formicilis,Ruminococcus torques,Alistipes shahii,Eubacterium hallii,Coprococcus comes,Coprococcus catus,Roseburia sp CAG 309,Eubacterium ramulus,Roseburia sp CAG 471,Eubacterium eligens,Dialister invisus,Roseburia intestinalis,Bacteroides dorei,Alistipes putredinis,Alistipes finegoldii,Ruminococcus bromii,Eubacterium sp CAG 38,Clostridium sp CAG 58,Anaerostipes hadrus,Roseburia inulinivorans,Eubacterium ventriosum,Clostridium sp CAG 167,Bacteroides ovatus,Bacteroides caccae,Alistipes indistinctus,Eisenbergiella tayi,Ruminococcus lactaris,Lactobacillus rogosae,Bacteroides fragilis,Bacteroides vulgatus,Bacteroides eggerthii,Bacteroides uniformis,Bacteroides stercoris,Oscillibacter sp 57 20,Lachnospira pectinoschiza,Ruminococcus bicirculans,Flavonifractor plautii,Bacteroides salyersiae,Clostridium bolteae,Bacteroides finegoldii,Streptococcus salivarius,Eggerthella lenta,Coprobacter fastidiosus,Bacteroides intestinalis,Butyricimonas virosa,Oscillibacter sp CAG 241,Bacteroides massiliensis,Bacteroides xylanisolvens,Streptococcus thermophilus,Odoribacter splanchnicus,Streptococcus parasanguinis,Parabacteroides merdae,Turicimonas muris,Eisenbergiella massiliensis,Bacteroides cellulosilyticus,Bacteroides thetaiotaomicron,Paraprevotella xylaniphila,Barnesiella intestinihominis,Agathobaculum butyriciproducens,Butyricimonas synergistica,Parabacteroides distasonis,Faecalibacterium prausnitzii,Parabacteroides goldsteinii,Gordonibacter pamelaeae,[Collinsella] massiliensis,Collinsella stercoris,Clostridium leptum,Enterorhabdus caecimuris,Escherichia coli,Holdemania filiformis,Monoglobus pectinilyticus,Ruthenibacterium lactatiformans,Asaccharobacter celatus,Eubacterium siraeum,Fusicatenibacter saccharivorans,Eubacterium rectale,Collinsella aerofaciens,Collinsella intestinalis,Adlercreutzia equolifaciens,Akkermansia muciniphila,Anaeromassilibacillus sp An250,Bifidobacterium longum,Bilophila wadsworthia,Lawsonibacter asaccharolyticus,Intestinimonas butyriciproducens,Bifidobacterium adolescentis,Clostridium spiroforme,Parasutterella excrementihominis,Phascolarctobacterium faecium,Firmicutes bacterium CAG 94,Firmicutes bacterium CAG 95,Firmicutes bacterium CAG 83,Firmicutes bacterium CAG 110,Firmicutes bacterium CAG 145,Proteobacteria bacterium CAG 139,SampNum,WeekNum,Participant_ID
100420_s1,0.0016819,0.0022599,0.0119321,2.99e-05,0.0001834,0.0002318,0,0.0002459,0,0.0008333,0,0.0104813,0.0035767,0,0,8.21e-05,0,0,0.0009881,0,0,0.0043576,0.0693475,0.0019359,0.0228508,0,0.0015814,0.0004442,3.41e-05,0,0,0,0.0040696,0,0.0007917,0,0,0,0.0712195,0,0.0343934,0.1107019,0.0083205,0,0.0136004,0.0005877,0,0,0,0,0.001148,0,0,0,0,0.0119923,0.0027626,0,0.0059595,0,0.0056904,0,0,0.0048833,0.0023741,0,0.0714487,0.0012663,0,0.0057964,0.0351734,0.0014516,0.0003058,0.0001685,0,0.0076993,5e-06,0.3156234,0.0006674,0.0005395,0.0004169,0.0012733,0.0064704,0.0240591,0.0007732,0.0088652,0,0.0008254,2.82e-05,0,0.0005862,0,0.0008832,0.001863,0,0.000323,0,0.003948,0.0072119,0,0,0,0.0002854,0,1,1,100420
100420_s2,0.0041798,0.000848,0.0218913,0.0005318,0.0002383,0.0148571,0.002503,0.0017624,0.0010044,0.0011344,6.77e-05,0.0049593,0.0094454,0,0,0.001282,0,0,0.0017227,3.06e-05,0.0007554,0.0056947,0.0270232,0.0010143,0.0572991,0.0047982,0.0010598,0.0025835,0.0037821,0,0,0,0.0039182,0,0.0001668,0,0,0,0.0922484,0,0.0298097,0.1515137,0.0032654,0,0.0464156,0.0019932,0,0,0,0,0.0009616,0,0,0,0,0.0142861,0.0162577,0.009203,0.0062996,0,0.0069906,0,0,0.0020309,0.0022973,0,0.0427809,0.0005065,0,0.0053892,0.0264962,0.0001915,0.0002414,8.48e-05,6.52e-05,0.0099085,0,0.1808012,0.0007414,0.0007678,0.0006879,0.0012447,0.0026022,0.049102,0.0352968,0.0125825,0,0.0012358,0,2.01e-05,0.0052921,0,0.0013341,0.0023573,0,0.0004391,0,0.0036047,0.0052189,0,0,0,0.0003962,1.43e-05,2,1,100420
100420_s3,0.0042839,0.0025189,0.0117296,0.0002908,0.0002303,0.0008499,0,2.81e-05,0,0.0007229,0,0.0106254,0.0109711,0,0,0.0002111,0,0,0.009422,0,0,0.0156757,0.0624419,0.0021518,0.0791128,0,0.0007225,0.0014898,0.0003798,0,0,0,0.0172989,0,0.0036943,0,0,0,0.0769952,0,0.0757693,0.1219621,0.0123687,0.0002152,0.0273539,0.0014698,0,0.0001557,0,0,0.0011767,0,0,0,0,0.0165685,0.0042514,0,0.0083645,0,0.0114065,0,0,0.0019199,0.0042927,0,0.0818117,0.0005955,0,0.0109023,0.0163794,0.0017453,0.0002531,3.93e-05,0,0.0045753,0,0.1206877,0.0006184,0.0004301,0.0001851,0.0008692,0.0095532,0.0363919,0.0010498,0.0033371,0,0.0005841,0,0,0,0,0.0004687,0,0,0,0,0.005962,0.004015,0,0,0,7.74e-05,3.38e-05,3,2,100420
100420_s4,0.01095,0.0015045,0.0237015,0.0016635,0.000693,0.0360378,0.0013663,0.0018411,0.00058,0.0012617,0.0001384,0.0032197,0.0236913,0,0,0.0031775,0,0,0.0376965,0,0.0051125,0.0056777,0.0165934,0.0002555,0.0613806,0,0.0015039,0.0150545,0.0027594,0,0,0,0.0042077,0,0.0006689,0,6.23e-05,0,0.0410006,0,0.0403923,0.17305,0.0248256,0.0049057,0.0726189,0.0010489,0,0,0,0,0.0013033,0,7.13e-05,0,0,0.0081819,0.0061492,0.0113121,0.002542,0,0.0028761,0,0,0.0001805,0.0010118,0,0.0171461,0.0012758,0,0.0026978,0.0298785,0.0001664,0.0002992,0.0001224,0.0001804,0.0070973,9.2e-06,0.1094344,0.0005495,0.0002879,0.0009221,0.0007824,0.0089199,0.0375376,0.0135362,0.0097246,0,0.0010763,4.26e-05,0,0.0003905,0,0.0009119,0.0001107,0,1.3e-05,0,0.0042183,0.0045065,0.0001287,0,0,0.0001955,0,4,2,100420
100576_s1,0.00103,3.37e-05,0.0193472,0.0038496,0.000481,0.0217328,0,0.0039899,0.0012066,0.000115,0.0171574,0,0.0133029,0.0252702,0,0,0,0,0.0312599,0.002282,0.0024163,0.045268,0,0.0507115,0,0,0.0026807,0.0237376,0.0037732,0,0,0.0671452,0,0,0.0014478,0,0,0,0.1239974,0,0.1065198,0.073492,0,0,0.0041475,0.0094714,0,0.0005838,0,0.0014219,0.0007169,0,0,0,0,0.0112836,0,0,0.0048724,0.000494,0,0,0.0003641,0,0.0119415,0,0.0365902,0.0016176,0,0.0308005,0.0520202,0,0.0008584,5.6e-06,0.0002195,0.0063564,0,0,0,0.0021663,0.0031546,0,0,0.0230444,0.0217769,0,0.0112095,0,0.0221642,9e-06,0.0136868,0.0010368,7.55e-05,5.87e-05,0,0.0004437,0.0001909,0,0,0,0,0,0.0012135,0,1,1,100576
100576_s2,0.0002332,0.0002016,0.0034295,0.00284,0,0.1062721,0,0.0014393,0.0018029,3.1e-05,0.010147,0,0.0077525,0.0113773,0,0,0,0,0.0339626,0.0033619,0.0111706,0.0496967,0,0.0165023,0,0,0.0008612,0.0101579,0.0029867,0,0,0.050151,0,0,3.01e-05,0,0,0,0.087386,0,0.0741695,0.0425751,0,0,0.0010051,0.0032215,0,0.000346,0,0.000279,0.0004638,0,0,0,0,0.0171942,0,0.0006795,0.0036488,0,0,0,0,0,0.0195021,0,0.0198744,0.0091942,0,0.0441438,0.092823,0,0.0007077,0,0.0003671,0.0289147,0,0,0,0.0037569,0.0017883,0,0,0.0374015,0.0178272,0,0.0175339,0,0.0019815,7.5e-05,0.0274902,0.0005981,9.6e-06,0,0,0,0.0004979,0,0,0,0,0,0,0,2,1,100576
100576_s3,0.0014168,0,0.0130909,0.0218864,0,0,0,0.0096821,0.0010665,5.91e-05,0.0116518,0,0.018519,0.0194975,0,0,0,0,0.0810781,0.0057898,0.0705971,0.056186,0,0.0055292,0,0,0.001277,0.0351486,0.0225231,0,0.0174131,0.0151281,0,0,0.0011768,0,0,0,0.036774,0,0.02295,0.0516366,0,0,0.0148582,0.0040554,0,0.0003615,0,0.0050858,0.0007203,0,0,0,0,0.0113224,0,0.01738,0.0055354,0.0015952,0,0,0.0001521,0,0.0117096,0,0.0280609,0.0113347,0,0.0099192,0.0855186,0,0.0010169,0,0.0001266,0.0004703,0,0,0,0.008732,0.0005487,0,0,0.0588727,0.1167976,0,0.0089675,0,0,0,0.0155905,0.0006508,0,7.3e-06,0,0,0.0003211,0,0,0,0,0,0,0,3,2,100576
100576_s4,0.0013992,0,0.0177261,0.0076707,0.0002699,0,0,0.0054858,0.0017579,7.32e-05,0.0135497,0,0.0201287,0.0162329,0,0,0,0,0.0510419,0.0048168,0.0027417,0.0509056,0,0.0226553,0,0,0.0047759,0.0211772,0.0148917,0,0.0094517,0.0111447,0,0,0.0009775,0,0,0.0036294,0.0377643,0,0.024369,0.0496593,0,0,0.0167506,0.0085402,0,0.0007909,0,0.0009866,0.0012154,0,0,0,0,0.0178586,0,0.0008145,0.0066392,0,0,0,0.0001173,0,0.0131482,0,0.0524531,0.0100143,0,0.0106965,0.113527,0,0.0013613,4.14e-05,0.0003851,0.0026723,0,0,0,0.0075848,0.0030688,0,0,0.0370089,0.1700367,0,0.0172344,0,0,0,0.0158016,0.0007081,0.0002638,0.0005408,0,0.0001731,0.0003151,0,0,0,0,0,0.0045932,0,4,2,100576
100834_s1,0.0033456,0,0.0205908,0.0036735,0,0.0139691,0.0037329,0.0059318,0,0.0016615,0.0031574,0.0008462,0.0074119,0.0083275,0.0025377,0,0.0005734,0,0.0041527,0,0.0196355,0,0,0,0.0312206,0.0017123,3.95e-05,0.0059969,0.0057484,0.0001834,0.0049299,0.0008548,0,0,0,0.0059153,0.0002279,0,0.0103821,0.0014224,0.0182814,0,0.0203488,0.0147732,0.0754527,0,0,0,0.0004304,0,0,0,0,0.0006401,0.000165,0,0.0006144,0.0135356,0.0096161,2e-04,0.0069058,0,0,0,0.0011772,0.0017819,0.0056347,0.0017112,0,0.0036098,0.0510418,0,0,6.59e-05,0.0002221,0,0,0,0,0,3.33e-05,0,0,0.0022872,0.0509672,0.0159096,0,0,0,0,0,0,0,0,0.001437,0,0,0,0,0,0,0,0,0,1,1,100834
100834_s2,0.0031916,0,0.0117484,0.0016839,0,0.0724608,0.0047789,0.0003288,5.8e-06,0.0006723,0.0086964,0.0013839,0.0093967,0.0084819,0.0010402,0,0.0006491,1.14e-05,0,0,0.0283152,0.0069285,0.0287073,0.0128975,0.0939287,0.003535,0.0008001,0.0129367,0.0056835,0.0037054,0.0002863,0.011699,0.0022441,0,0,0.0055052,5.84e-05,0,0.1537289,0.0231481,0.048288,0,0.0020128,0.0152312,0.0383131,0.0007812,0,0,0,0.0001787,0,0.0005601,0.0067731,0.0011717,0.0010759,0.0060186,0.0058749,0.0007223,0.0020986,0,0.0063167,0,0,0,0.0062842,0.0017243,0.0042379,0.0032424,0,0.0057464,0.1001385,0,1.1e-05,3.95e-05,0.0003233,7.7e-05,0,0,0,0.0019577,0.0001176,2.93e-05,0,0.0286632,0.0243691,0.0222657,0.0004163,0,0,0,0.0099517,0.0001449,0.0012555,0,0.1155267,0,0,0,0.0002562,0,0.0012827,0,0,3.57e-05,2,1,100834
102302_s3,0.000172,0,0.0044499,0,0,0,0.0007714,0.0006589,0,0.0002963,0.0009808,0,0.0004617,0.0001658,0.0007582,0,0,0,0,0.0010727,0,0,0,0.052208,0.0209427,0,0,0.0097045,0.0067348,0,0,0.0111009,0.0273265,0,0,0,5.83e-05,0,0.0726472,0,0.089625,0,0.0032016,0.0041371,0.0017757,0.0004434,0.0050924,0,0,0,0.0001659,0,0.0653148,0.0021093,0.0015472,0,0.0019518,0,0.0043604,0,0.0095327,0.0001996,0,0,0.0314321,0,0,6.41e-05,0,0,0.026686,0,0.0001996,0,3.74e-05,0,0,0,0,0,0.0003956,0.0004733,0,0.0010155,0.0462751,0.0028171,0,7.87e-05,0,0,0.3295705,0.0003551,0.000126,0.0009772,0.0974022,0,0.0033024,0,0,0,0,0,0.0001877,0.0005524,3,2,102302
102302_s4,0.0005578,0,0.0015124,0,0,0,0.0022741,0.0001935,0,0.0012034,0.0005785,0,0.0013182,0.0014703,0.0013233,0.0001693,5.76e-05,0,0,0.0005776,0,0,0,0.0471627,0.0003526,0,0,0.0105281,0.0002259,0,0,0.0147848,0.0557295,0,0,0,0,0,0.1071032,0,0.1037644,0,0.0046005,0.0016388,0.0060225,0.0004809,0.0100904,0,0,0,0.0001282,0,0.0525098,0.0026784,0.0021281,0,0.0013027,0,0.0076385,0,0.0168983,0.0001805,0,0,0.0280442,0,0,0,0,0,0.0339892,0,0.0006033,0,0.0001093,0,0,0,0,0,0.0004927,0.0003292,0,0.0022926,0.0083291,0.0075658,0,5.31e-05,0,0,0.2091825,0.0006399,6.96e-05,0.0006213,0.1359213,0,0.0049189,0,0,0,0,0,0.0003073,0.0007542,4,2,102302
