	SRR5760852	SRR5760853	SRR5760854	SRR5760855	SRR5760856	SRR5760857	SRR5760858	SRR5760859	SRR5760860	SRR5760861	SRR5760862	SRR5760863	SRR5760864	SRR5760865	SRR5760866	SRR5760867	SRR5760868	SRR5760869	SRR5760870	SRR5760871	SRR5760872	SRR5760873	SRR5760874	SRR5760875	SRR5760876	SRR5760877	SRR5760878	SRR5760879	SRR5760880	SRR5760881	SRR5760882	SRR5760883	SRR5760884	SRR5760885	SRR5760886	SRR5760887	SRR5760888	SRR5760889	SRR5760890	SRR5760891	SRR5760892	SRR5760893	SRR5760894	SRR5760895	SRR5760896	SRR5760897	SRR5760898	SRR5760899	SRR5760900	SRR5760901	SRR5760902	SRR5760903	SRR5760904	SRR5760905	SRR5760906	SRR5760907	SRR5760908	SRR5760909	SRR5760910	SRR5760911	SRR5760912	SRR5760913	SRR5760914	SRR5760915	SRR5760916	SRR5760917	SRR5760918	SRR5760919	SRR5760920	SRR5760921	SRR5760922	SRR5760923	SRR5760924	SRR5760925	SRR5760926	SRR5760927	SRR5760928	SRR5760929	SRR5760930	SRR5760931	SRR5760932	SRR5760933	SRR5760934	SRR5760935	SRR5760936	SRR5760937	SRR5760938	SRR5760939	SRR5760940	SRR5760941	SRR5760942	SRR5760943	SRR5760944	SRR5760945	SRR5760946	SRR5760947	SRR5760948	SRR5760949	SRR5760950	SRR5760951	SRR5760952	SRR5760953	SRR5760954	SRR5760955	SRR5760956	SRR5760957	SRR5760958	SRR5760959	SRR5760960	SRR5760961	SRR5760962	SRR5760963	SRR5760964	SRR5760965	SRR5760966	SRR5760967	SRR5760968	SRR5760969	SRR5760970	SRR5760971	SRR5760972	SRR5760973	SRR5760974	SRR5760975	SRR5760976	SRR5760977	SRR5760978	SRR5760979	SRR5760980	SRR5760981	SRR5760982	SRR5760983	SRR5760984	SRR5760985	SRR5760986	SRR5760987	SRR5760988	SRR5760989	SRR5760990	SRR5760991	SRR5760992	SRR5760993	SRR5760994	SRR5760995	SRR5760996	SRR5760997	SRR5760998	SRR5760999	SRR5761000	SRR5761001	SRR5761002	SRR5761003	SRR5761004	SRR5761005	SRR5761006	SRR5761007	SRR5761008	SRR5761009	SRR5761010	SRR5761011	SRR5761012	SRR5761013	SRR5761014	SRR5761015	SRR5761016	SRR5761017	SRR5761018	SRR5761019	SRR5761020	SRR5761021	SRR5761023	SRR5761024	SRR5761025	SRR5761026	SRR5761027	SRR5761028	SRR5761029	SRR5761030	SRR5761031	SRR5761032	SRR5761033	SRR5761034	SRR5761035	SRR5761036	SRR5761037	SRR5761038	SRR5761039	SRR5761040	SRR5761041	SRR5761042	SRR5761043	SRR5761044	SRR5761045	SRR5761046	SRR5761047	SRR5761048	SRR5761049	SRR5761050	SRR5761051	SRR5761052	SRR5761053	SRR5761054	SRR5761055	SRR5761056	SRR5761057	SRR5761058	SRR5761059	SRR5761060	SRR5761061	SRR5761062	SRR5761063	SRR5761064	SRR5761065	SRR5761066	SRR5761067	SRR5761068	SRR5761069	SRR5761070	SRR5761071	SRR5761072	SRR5761073	SRR5761074	SRR5761075	SRR5761076	SRR5761077	SRR5761078	SRR5761079	SRR5761080	SRR5761081	SRR5761082	SRR5761083	SRR5761084	SRR5761085	SRR5761086	SRR5761087	SRR5761088	SRR5761089	SRR5761090	SRR5761091	SRR5761092	SRR5761093	SRR5761094	SRR5761095	SRR5761096	SRR5761097	SRR5761098	SRR5761099	SRR5761100	SRR5761101	SRR5761102	SRR5761103	SRR5761104	SRR5761105	SRR5761106	SRR5761107	SRR5761108	SRR5761109	SRR5761110	SRR5761111	SRR5761112	SRR5761113	SRR5761114	SRR5761115	SRR5761116	SRR5761117	SRR5761118	SRR5761119	SRR5761120	SRR5761121	SRR5761122	SRR5761123	SRR5761124	SRR5761125	SRR5761126	SRR5761127	SRR5761128	SRR5761129	SRR5761130	SRR5761131	SRR5761132	SRR5761133	SRR5761134	SRR5761135	SRR5761136	SRR5761137	SRR5761138	SRR5761139	SRR5761140	SRR5761141	SRR5761142	SRR5761143	SRR5761144	SRR5761145	SRR5761146	SRR5761147	SRR5761148	SRR5761149	SRR5761150	SRR5761151	SRR5761152	SRR5761153	SRR5761154	SRR5761155	SRR5761156	SRR5761157	SRR5761158	SRR5761159	SRR5761160	SRR5761161	SRR5761162	SRR5761163	SRR5761164	SRR5761165	SRR5761166	SRR5761167	SRR5761168	SRR5761169	SRR5761170	SRR5761171	SRR5761172	SRR5761173	SRR5761174	SRR5761175	SRR5761176	SRR5761177	SRR5761178	SRR5761179	SRR5761180	SRR5761181	SRR5761182	SRR5761183	SRR5761184	SRR5761185	SRR5761186	SRR5761187	SRR5761188	SRR5761189	SRR5761190	SRR5761191	SRR5761192	SRR5761193	SRR5761194	SRR5761195	SRR5761196	SRR5761197	SRR5761198	SRR5761199	SRR5761200	SRR5761201	taxonomy
ASV1	440	3788	4071	3244	748	355	1281	296	52	8027	1951	5593	2819	1372	1968	1799	2193	916	4015	2112	347	1034	1094	1433	4720	2001	1232	1504	1565	690	394	2837	2053	2349	5035	377	502	641	449	1128	3514	3658	176	4038	4107	1408	2154	4524	2463	4049	4323	838	1937	651	3119	6626	4543	3022	11220	6783	425	4889	2452	2916	11836	9432	1042	6032	416	1064	1695	12912	1326	1885	2714	3451	3043	2473	3059	3449	3316	1317	3593	3103	132	63	486	327	113	5721	4457	1908	136	1539	2264	2452	0	3354	16	435	461	364	54	2056	3506	8780	1126	1240	775	393	1815	1588	1362	4869	1838	1457	5055	4407	626	3224	5506	5961	2804	1686	4991	4947	988	2253	6338	3135	1526	4941	5094	5085	529	3125	3060	2464	3269	3822	3977	5492	5479	2815	1266	2713	1391	1244	1417	320	6070	682	147	114	345	825	5456	332	3675	657	105	220	3960	1793	2749	4194	893	612	1207	1390	719	3082	2439	4251	3641	37	564	641	294	4349	2140	42	210	342	515	1077	1263	1193	3463	6879	3350	2960	5350	1596	1741	1657	1433	2749	1269	1238	7727	1366	1776	1947	1606	2485	672	710	1582	1392	854	1295	3060	1902	3483	35	2015	2156	151	5763	1618	1923	772	97	1138	551	123	2913	165	2764	1264	2721	4011	2370	4102	1828	666	1962	2397	8392	3159	1039	990	1787	1024	1109	847	773	179	1195	2816	4319	4344	626	1236	2161	2699	2129	4155	2198	3182	668	1269	6217	1095	1075	2415	599	2396	753	10020	950	2604	3326	670	3605	2316	297	2761	2594	409	3331	690	227	484	2487	2318	34	440	415	29	1337	895	55	1783	3327	595	705	1273	1158	1382	6416	1400	89	9251	629	2079	1350	157	1627	7229	4419	1579	2605	1991	6635	3650	1173	1891	1382	5089	2019	2151	3163	638	3039	3522	1729	2712	5153	498	353	536	7144	498	3285	120	2001	580	2337	2215	945	1439	2189	2468	1240	2040	1864	618	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_9; s__copri
ASV2	2163	1632	1119	799	264	123	2003	87	24	626	575	2181	1356	811	1184	775	1574	1190	2477	1374	2258	338	4055	4611	2386	7478	2900	4146	5364	1922	34	1922	2701	14692	767	854	2463	676	965	1947	1166	1558	49	2655	1276	1279	1902	6780	2567	1384	1476	2699	1924	191	1214	2621	1635	2744	5731	3343	336	2197	1151	1572	1581	1717	1607	1132	0	1621	3470	1970	1294	910	1692	1752	1702	1103	1187	1468	629	672	1636	2739	19	759	335	117	130	708	3173	5640	633	577	732	6908	16	2525	0	667	692	490	0	3825	677	3427	639	2516	200	666	4410	2472	1362	1835	3039	561	1110	976	409	384	1613	2244	1677	1775	833	1376	721	606	1174	6097	1134	915	2979	2987	1110	1929	4925	4440	1491	3624	3858	3234	5398	1589	1451	895	3117	1274	2284	4388	1280	1452	1686	1622	4219	1336	4665	5236	606	848	0	399	547	241	674	1460	163	367	3509	537	233	1340	2256	134	984	89	162	214	254	127	743	35	238	550	325	3731	465	5090	890	3525	3902	1088	1940	3498	181	688	804	1449	683	764	991	783	893	1897	686	2276	670	635	2019	1702	456	826	700	506	485	0	595	1794	176	2033	122	901	0	243	887	518	416	529	474	1005	1013	381	5719	4699	6431	5087	1343	2420	739	2522	1640	834	2973	691	673	864	870	647	0	608	438	2847	997	1322	806	2851	3554	2735	2009	3275	3560	1426	2900	3841	1497	1423	3280	1018	1645	1008	7019	337	1237	1912	1078	1383	2094	0	2708	8023	0	925	516	274	638	2015	882	0	237	268	32	1646	479	95	434	1186	179	480	152	1063	951	1298	1210	34	5460	778	7100	140	62	413	5665	4755	1693	3712	3536	2500	3886	1334	1080	453	2386	3008	3054	1725	811	1916	916	856	943	892	414	93	636	1667	1123	963	181	866	757	271	252	2482	638	1897	2397	603	1711	265	1549	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_9; s__ 
ASV3	20	3147	25	1526	7	4	408	0	0	0	23	190	1267	41	569	236	407	678	41	50	44	230	88	108	196	57	42	76	42	75	0	430	5	0	397	44	66	0	186	0	9	12	0	1166	685	955	728	265	3	771	3217	189	759	152	737	130	654	12	34	44	190	1398	274	96	1906	2012	803	2439	0	1083	671	2476	818	186	77	69	70	12	58	514	1810	152	1314	790	16	46	0	0	0	14	78	7	0	19	375	9	0	1567	0	1187	1275	325	0	1129	24	264	0	0	0	0	0	0	12	9	0	8	1529	1546	245	105	0	0	122	644	54	104	2252	1231	3833	1557	1077	3366	3694	3668	759	2526	1675	1618	161	1391	7	911	90	209	152	233	347	66	1205	485	1284	1414	348	297	469	620	0	596	0	138	0	0	64	1309	295	28	21	0	1943	55	82	24	5	33	23	0	0	0	11	76	24	0	46	153	0	0	32	0	0	0	0	2298	0	0	11	16	0	8	52	0	0	14	16	151	1636	786	2026	1000	1278	860	1228	1608	319	250	3127	40	235	818	75	62	853	2915	70	4	276	76	11	0	0	0	24	40	150	427	0	156	15	0	0	3	0	0	38	573	635	0	226	0	0	234	89	186	658	2090	1112	140	314	3267	1876	3947	3055	713	24	17	880	985	59	483	36	603	0	267	16	209	594	82	450	0	0	42	0	200	0	4	816	0	0	0	0	0	0	0	0	4456	20	0	381	0	0	11	50	304	594	0	368	0	0	55	0	12	87	0	0	14	0	0	0	0	0	0	1603	893	1187	998	10	876	2338	946	1972	0	31	225	0	0	11	30	21	0	16	22	18	184	68	1691	3	139	19	19	47	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__ 
ASV4	370	104	27	257	382	196	0	0	0	405	246	139	1176	64	1457	166	0	306	144	168	0	14	401	447	182	77	37	68	27	257	0	343	105	6419	0	1984	2554	3832	753	292	48	63	320	74	237	50	65	271	0	246	90	87	50	77	61	146	82	405	714	507	65	651	35	0	95	439	0	499	0	26	56	108	153	17	371	225	526	417	319	393	251	298	144	48	1307	525	17	343	0	0	639	0	281	364	142	204	0	155	0	301	320	0	0	354	0	0	92	0	70	5197	0	0	0	1792	0	0	118	101	52	722	220	263	127	530	257	30	86	40	191	861	0	206	86	73	84	31	832	502	554	0	143	402	161	0	164	229	407	228	105	186	47	19	100	102	184	217	350	161	1152	233	0	261	4537	2818	3825	4440	3170	242	1053	0	304	270	0	0	103	32	649	158	283	0	0	0	116	105	186	18	636	0	49	0	0	95	0	1515	0	304	102	0	138	156	25	335	340	753	53	56	40	63	0	0	114	87	67	0	127	0	61	51	18	817	72	0	20	472	564	531	804	312	184	56	0	47	148	3687	1520	5363	2217	3608	1413	373	0	3124	4979	320	213	174	0	93	0	59	497	158	249	55	82	119	117	131	19	143	162	170	791	490	0	0	147	136	81	0	528	512	88	163	0	34	90	0	0	394	0	791	112	2093	1823	974	403	23	15	345	62	381	184	0	3721	1253	454	15	268	275	212	844	0	0	243	25	1987	0	0	430	243	0	2049	596	0	0	1961	0	0	80	18	108	63	71	84	56	1904	27	99	0	1004	3658	910	34	0	199	0	66	1639	0	0	311	332	489	44	166	151	0	126	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_9; s__ 
ASV5	447	0	2713	0	29	4856	3096	1717	194	1245	225	18	23	8	794	50	65	379	0	0	1469	1771	70	47	118	50	17	63	51	75	0	72	91	599	390	3305	3353	976	1818	236	1906	1329	22	102	0	0	12	7	0	0	190	0	10	757	24	16	15	187	17	12	98	0	27	3	0	7	0	29	0	0	197	10	14	192	8	48	9	122	58	79	0	77	176	16	756	13	1935	0	21	0	240	3764	730	1788	59	203	0	131	0	5	5	0	0	0	1511	29	183	0	1740	806	0	0	292	318	0	5017	0	0	89	0	61	74	43	98	858	48	293	174	64	5	148	50	270	355	447	215	0	5	193	0	35	54	8	0	0	40	281	28	6	41	202	219	11	0	80	254	148	52	95	20	0	163	99	0	36	98	0	5	39	609	731	745	70	0	7	0	131	1073	104	0	402	4239	51	435	600	0	131	0	1832	65	0	0	96	2074	403	1215	1348	0	2080	5594	1849	48	23	108	13	123	608	253	1370	1095	183	687	149	198	14	293	69	66	94	418	20	174	33	563	497	454	494	5	0	102	133	0	18	51	220	59	680	176	299	581	0	340	351	39	251	386	5	370	0	230	0	42	25	0	16	218	102	6	229	0	14	845	2996	22	2201	1591	82	483	0	310	51	6	103	109	0	0	84	0	0	15	0	259	217	239	40	190	71	186	7664	207	160	3363	1057	35	249	81	42	0	653	179	101	24	183	340	137	88	325	3165	64	67	60	0	66	145	740	195	122	209	368	149	96	0	0	176	183	76	290	15	57	1518	317	1246	142	179	5723	1617	4849	180	390	40	23	6	733	186	0	113	248	94	57	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__ ; s__ 
ASV6	35	459	212	243	361	104	340	61	177	319	1079	308	1004	673	1024	295	229	97	217	550	980	531	157	156	79	461	311	412	319	360	618	477	103	248	309	124	0	59	95	154	220	341	20	183	458	322	264	248	146	386	330	1424	249	105	674	307	709	468	485	501	95	288	219	385	174	443	168	203	571	248	399	328	397	71	163	682	181	197	420	170	330	479	575	559	0	135	645	176	89	313	2144	1383	490	474	288	426	1864	176	2871	70	84	2690	1219	251	190	113	285	243	121	379	542	275	0	204	439	244	193	146	328	281	188	98	172	388	127	161	187	119	185	552	269	251	71	53	149	0	379	288	681	147	853	964	260	88	652	347	163	354	33	248	295	551	263	308	183	106	368	233	233	107	0	51	40	98	313	374	141	319	259	225	0	168	215	291	425	45	98	186	1910	196	717	174	781	498	295	172	209	279	231	65	221	106	408	597	2481	1271	278	268	1106	497	1100	2312	1786	171	117	70	164	71	177	99	238	170	79	197	126	0	240	173	118	306	70	90	0	281	590	592	318	1311	994	632	393	113	704	0	0	0	261	46	210	383	0	57	265	177	157	114	153	147	394	117	245	193	44	221	97	608	475	531	44	602	518	156	54	294	149	128	179	461	401	464	420	417	393	153	0	61	234	434	130	89	492	68	131	42	42	79	188	37	196	269	0	1001	151	0	99	74	198	64	0	446	465	564	551	413	256	106	28	50	0	408	171	155	69	151	111	295	169	112	250	154	52	430	362	122	132	192	1276	249	950	967	1707	0	710	434	60	774	156	221	278	195	152	46	255	862	56	401	206	171	81	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
ASV7	1096	25	40	14	0	51	32	233	778	630	0	0	465	0	0	0	0	134	0	0	0	1612	6	7	5	175	13	12	177	0	0	71	0	0	332	138	95	270	55	8	0	152	1067	24	82	23	27	11	0	66	0	0	18	1196	82	0	106	201	0	0	0	190	0	48	0	0	13	0	0	16	0	0	26	0	4	0	0	17	27	96	37	119	0	0	6170	11144	0	9980	158	0	1733	322	0	202	10	55	61	14	362	0	0	24	0	226	0	366	2650	0	0	160	0	0	0	0	0	0	14	0	0	26	3	0	17	28	83	22	0	0	35	365	16	21	8	10	27	0	397	321	0	0	61	74	0	0	93	512	78	0	25	5	0	0	0	0	0	5	9	0	93	40	0	83	437	166	56	102	188	725	0	0	347	61	1059	0	586	4036	1423	5068	0	94	2651	1812	3526	224	157	8	0	0	16	11	0	0	51	14	46	0	312	4467	0	285	0	33	91	0	173	0	19	89	148	51	33	26	429	0	61	9	642	0	0	664	0	24	113	0	120	63	0	1819	433	338	0	2309	27	53	0	42	30	15	0	0	89	182	0	0	0	16	19	0	0	0	26	0	0	0	0	40	10	0	0	0	0	57	944	0	114	159	565	0	0	0	0	0	0	0	0	0	0	0	0	32	0	18	0	83	1027	54	1348	13	0	0	0	0	1314	48	86	135	0	0	581	57	0	0	0	2821	3275	45	0	619	1101	547	3306	0	0	0	0	0	0	29	0	27	0	0	0	0	0	27	0	0	10	0	0	5602	0	947	151	828	0	2948	100	43	42	22	427	52	0	144	92	65	20	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Sarcina; s__ 
ASV8	1335	233	748	348	268	623	308	852	2001	857	26	204	36	264	59	57	185	186	43	39	576	401	298	263	0	8	0	0	19	195	147	43	56	0	1481	1530	1988	0	2140	0	546	350	177	0	34	105	60	0	0	29	0	0	91	595	127	270	65	99	10	8	360	23	205	122	0	53	0	93	179	0	33	67	43	108	50	18	38	131	75	66	17	435	84	44	705	233	654	545	574	64	944	115	1548	503	241	130	0	0	0	98	129	0	0	0	664	2461	297	1402	1619	686	1029	884	1915	160	949	1061	509	406	68	0	48	28	0	94	81	0	109	138	33	0	75	23	0	0	128	0	9	0	102	114	32	45	21	1064	183	247	252	72	35	76	0	181	41	40	57	123	0	70	34	104	0	77	515	64	224	947	727	661	15	786	377	222	0	103	311	0	352	1928	316	129	203	1738	105	1270	1047	869	1046	1111	834	70	0	1185	0	393	133	820	585	169	1014	820	728	404	153	107	125	28	141	395	61	32	99	463	59	79	36	524	51	29	422	41	93	356	149	1475	665	751	1473	25	1946	20	120	16	83	370	0	0	373	15	40	149	36	637	0	35	140	126	58	139	306	70	0	0	334	21	205	46	42	0	0	0	10	106	73	114	88	61	0	347	49	352	183	475	203	52	14	47	28	196	64	15	194	26	105	76	158	0	22	326	890	267	113	318	454	0	57	36	774	407	134	98	282	131	232	2489	0	269	0	782	299	879	0	0	479	58	1108	84	133	348	209	79	0	0	0	298	65	0	35	28	105	512	323	747	535	72	2734	1087	2206	848	204	110	63	91	196	163	146	577	373	89	184	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcaceae_UCG-002; s__ 
ASV9	12	0	47	0	0	169	0	0	0	146	0	177	19	1002	225	913	4850	4193	316	248	0	0	7	10	0	0	12	19	0	69	0	0	160	0	0	25	0	8	0	0	0	0	3953	4	0	0	0	0	2154	0	11	48	0	28	431	104	272	623	17	4	410	44	509	1010	0	0	0	0	2	0	1043	0	1710	31	38	0	28	113	9	0	23	45	171	43	3092	0	9	0	99	0	0	2	33	0	42	1664	0	144	0	32	35	3	2	10	81	0	0	0	68	60	0	0	8	11	0	15	0	0	984	0	25	37	168	0	0	0	582	193	12	19	1364	8	0	4	13	0	10	21	50	0	104	66	0	2384	155	353	82	176	918	71	2180	3673	113	155	47	46	0	125	0	0	0	3641	0	0	0	0	0	142	30	0	305	0	0	0	539	798	130	300	0	0	407	196	112	1724	72	0	0	0	0	0	0	0	0	12	227	285	5337	0	103	11	15	0	0	0	112	0	0	2944	0	0	0	0	0	30	0	12	0	0	585	0	0	0	51	618	0	0	1443	0	0	0	411	26	811	0	0	0	521	0	1201	16	0	75	0	311	0	0	1184	0	0	293	0	16	0	5219	1987	235	357	8	0	4	3	6	0	0	0	0	627	1963	140	189	0	0	59	118	0	0	0	0	0	0	0	0	0	8	0	0	3	120	146	437	256	216	1128	0	0	0	0	0	0	2686	483	0	810	0	0	0	0	0	0	937	0	0	14	227	0	0	0	0	0	0	0	0	0	26	0	0	0	284	274	323	0	11749	176	0	0	12	0	154	370	6	11	65	139	137	700	198	42	11	22	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema_2; s__ 
ASV10	0	137	337	196	0	0	281	0	0	128	0	129	100	0	505	63	156	111	1263	383	0	120	278	395	163	672	301	544	580	434	5	618	1509	104	46	136	186	350	0	177	79	342	0	512	0	593	621	736	0	0	889	46	625	0	1287	195	952	0	940	488	0	174	320	694	24	40	1162	0	0	1148	307	27	168	129	349	215	336	68	262	674	702	151	177	88	0	0	0	13	81	322	121	0	110	152	273	382	0	157	0	6	0	112	0	264	121	153	0	221	36	180	343	243	752	441	351	79	166	215	70	0	394	352	226	686	166	199	193	27	813	379	125	689	0	22	107	0	377	304	58	426	652	920	761	0	360	111	295	82	0	0	282	137	0	9	10	517	1808	14	0	0	0	0	54	21	96	135	108	83	123	0	130	210	104	26	54	6	14	0	0	60	101	0	0	21	245	294	0	302	108	1739	3173	299	254	951	142	510	123	74	196	257	0	0	0	59	170	197	101	0	60	96	45	37	428	0	50	0	217	55	0	108	457	140	0	65	78	55	122	0	0	358	0	51	396	149	363	227	60	106	1846	1052	3640	108	330	588	188	0	0	41	0	44	0	123	0	121	47	222	302	863	0	832	800	65	46	68	49	51	217	421	276	16	994	35	57	247	762	171	54	0	0	84	0	667	37	72	379	125	531	0	32	276	3	86	396	3	89	0	38	85	0	130	0	66	113	0	226	161	1119	0	0	68	326	3181	145	1643	132	735	1260	388	563	0	0	2115	2221	120	175	353	108	118	0	0	0	47	43	211	0	114	58	178	117	112	100	0	39	600	73	148	76	78	76	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__ ; s__ 
