Run	Altitude	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	center_name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	elev	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	host_body_habitat	host_body_product	Host_diet	Host	host_subject_ID	host_taxid	included_final_analysis	INSTRUMENT_MODEL	Instrument	lat_lon	library_construction_protocol	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	platform	ReleaseDate	samp_collect_device	samp_mat_process	Sample Name	Spiro_remove	SRA Study	wild_captive
SRR2866538	0	AMPLICON	291	5795111	PRJNA300589	SAMN04226382	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	4039944	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400314	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1077	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1077	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1077	remove	SRP065516	captive
SRR2866539	0	AMPLICON	296	5218909	PRJNA300589	SAMN04226383	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	3695096	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400315	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1089	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1089	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1089	keep	SRP065516	captive
SRR2866540	0	AMPLICON	297	2696368	PRJNA300589	SAMN04226392	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2159288	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400316	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1179	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1179	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1179	remove	SRP065516	captive
SRR2866541	0	AMPLICON	340	1919235	PRJNA300589	SAMN04226393	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1541112	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400317	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1186	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1186	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1186	keep	SRP065516	captive
SRR2866542	0	AMPLICON	307	696458	PRJNA300589	SAMN04226394	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	521182	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400318	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1198	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1198	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1198	remove	SRP065516	captive
SRR2866543	0	AMPLICON	346	1846246	PRJNA300589	SAMN04226395	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1476791	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400319	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1201	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1201	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1201	keep	SRP065516	captive
SRR2866544	0	AMPLICON	299	1412146	PRJNA300589	SAMN04226396	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1144448	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400320	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1203	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1203	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1203	keep	SRP065516	captive
SRR2866545	0	AMPLICON	338	2599264	PRJNA300589	SAMN04226397	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2081232	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400321	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1204	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1204	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1204	keep	SRP065516	captive
SRR2866546	0	AMPLICON	339	2494063	PRJNA300589	SAMN04226398	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2000873	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400322	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1243	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1243	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1243	keep	SRP065516	captive
SRR2866547	0	AMPLICON	319	1884817	PRJNA300589	SAMN04226399	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1515510	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400323	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1245	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1245	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1245	keep	SRP065516	captive
SRR2866548	0	AMPLICON	329	1968591	PRJNA300589	SAMN04226400	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1575981	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400324	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1258	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1258	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1258	keep	SRP065516	captive
SRR2866549	0	AMPLICON	276	1288472	PRJNA300589	SAMN04226401	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1058611	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400325	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1263	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1263	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1263	keep	SRP065516	captive
SRR2866550	0	AMPLICON	279	4195056	PRJNA300589	SAMN04226384	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2994593	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400326	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1103	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1103	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1103	keep	SRP065516	captive
