,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV31,ASV32,ASV33,ASV34,ASV35,ASV38,ASV39,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV48,ASV50,ASV51,ASV53,ASV54,ASV55,ASV57,ASV60,ASV61,ASV62,ASV63,ASV64,ASV66,ASV67,ASV68,ASV69,ASV70,ASV71,ASV72,ASV73,ASV75,ASV78,ASV81,ASV83,ASV84,ASV88,ASV89,ASV91,ASV92,ASV99,ASV100,ASV105,ASV113,ASV114,ASV115,ASV120,ASV121,ASV125,ASV127,ASV144
SRR2866538,0.775812444,0.004029515,0,0,0,0,0,0,0.062431315,0.001988592,0,0,0,0,0,0,0,0,0.008216024,0.006436758,0.000470982,0.004500497,0.002668899,0,0,0,0,0,0,0,0,0,0.024177089,0,0.026688995,0,0,0,0,0,0,0,0,0,0,0,0,0.019257941,0,0,0,0,0,0.001883929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR2866539,0.189437428,0.064931751,0.013713484,0,0.005868095,0.08834035,0,0.013585917,0.003252966,0.00280648,0,0.024046434,0.007398903,0,0,0,0.025959944,0.008610792,0,0.005804312,0.028383722,0,0,0.003763235,0.012565378,0.004528639,0.022069141,0,0,0,0.012310244,0,0.000510269,0.020729685,0,0.031509121,0.004273504,0,0.004401072,0,0.000574053,0.002997831,0.007845388,0,0.01154484,0,0,0.000765404,0.001530808,0,0.004464855,0.003571884,0,0,0.003890802,0.002742697,0,0,0,0.003125399,0.004528639,0,0,0,0.015371859,0.000765404,0,0,0,0.003699451,0.002041077,0,0,0,0.000765404,0,0.003827019,0.001467024,0.001467024,0,0
SRR2866542,0.180728667,0.008149569,0,0,0.00527325,0.01198466,0,0,0,0,0,0,0.008628955,0,0,0.032598274,0,0,0.061840844,0.055129434,0,0.020613615,0.047938639,0,0,0,0,0,0,0,0,0,0.011025887,0,0.106423778,0,0.004314477,0,0,0,0,0,0,0,0,0,0,0,0,0.06232023,0,0,0,0.045541707,0,0,0,0,0,0,0,0,0,0,0,0.004793864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004793864,0
SRR2866550,0.132896441,0.140973863,0.049302751,0.001295435,0.058370799,0.146689019,0,0.034214737,0.004648327,0.002590871,0,0.008077421,0.011201707,0.009525261,0.002209861,0.006324773,0.004495923,0.002819477,0,0.010363484,0.055246514,0,0,0.010973101,0,0.007620209,0.009677665,0,0,0,0.008458432,0,0,0.000685819,0,0.019660139,0.000609617,0,0,0,0,0,0.00693439,0,0,0,0,0,0,0,0,0.005562752,0,0,0.016535853,0.002590871,0,0,0.000533415,0,0,0,0,0,0.006096167,0,0,0,0,0.007772613,0.004800732,0,0,0,0,0,0,0.002667073,0,0,0
SRR2866561,0.137810423,0.138859741,0.058324589,0.001049318,0.050542148,0.160370759,0,0.030342777,0,0.002710738,0,0.00524659,0.011105282,0,0,0.004896817,0,0.002973068,0,0.01023085,0.057625044,0,0,0.009706191,0,0.006121021,0.006995453,0,0,0,0.010405736,0,0,0,0,0.018363064,0,0,0,0,0,0,0.007869885,0,0,0,0,0,0,0,0,0.006470794,0,0,0.014078349,0,0,0,0.000786988,0,0,0,0,0,0.007782441,0,0,0,0,0.007432669,0.004809374,0,0,0,0,0,0,0.004022385,0,0,0
SRR2866572,0.713618376,0.003540718,0.001547205,0,0.00113065,0.003362195,0,0.001457943,0,0.033562439,0,0.000892618,0.000743848,0,0,0,0,0.000803356,0.00166622,0.001011634,0.001636466,0.002350561,0.063167604,0,0.000476063,0,0,0,0,0,0,0.000416555,0.010473385,0,0.015799339,0.007527746,0,0,0,0,0,0,0.000684341,0,0,0,0,0.006040049,0,0.001011634,0,0,0,0.00559374,0,0.000773602,0,0,0,0,0.000446309,0,0,0,0.000565325,0,0,0,0,0.000327293,0,0,0,0,0,0,0,0,0,0,0
SRR2866575,0.025688641,0,0,0,0,0,0,0,0.007582792,0.001083256,0,0,0,0,0,0,0,0,0.223150727,0.262921696,0,0.218817703,0.008356546,0,0,0,0.002940266,0,0,0,0,0,0.002630764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002321263,0,0,0,0.013463324,0.002940266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR2866582,0.2845953,0.010243021,0,0,0.003816027,0.011448082,0,0.013255674,0.013456517,0.012050613,0,0,0.003213497,0,0,0,0,0,0.134766017,0.020887728,0.003012653,0.157260494,0,0,0,0,0.005021089,0,0,0,0.007029524,0,0.001807592,0,0.011849769,0,0,0.011448082,0,0,0,0,0.004016871,0,0,0,0,0.017071701,0,0.013255674,0,0.004016871,0,0.058847158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR2866583,0.012591815,0.07135362,0,0.013641133,0,0.17838405,0.017838405,0.034627492,0,0,0,0,0.018887723,0,0,0,0,0,0.151101784,0.045120672,0.015739769,0.051416579,0,0,0,0.016789087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06610703,0.018887723,0,0,0,0,0,0,0,0,0,0.056663169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR2866584,0.116662015,0.056154061,0.01177784,0.103209601,0.014066425,0,0.084566006,0.004074798,0.002232766,0.00133966,0.041250349,0.009879989,0.05297237,0.002511862,0.066982975,0,0.004130617,0.01501535,0,0.001786213,0,0,0,0.002846776,0.008651968,0.015740999,0,0.023276584,0.008763606,0.012336031,0.007144851,0,0.000948925,0.006140106,0,0,0,0.011331287,0.004409713,0.015461903,0.007368127,0.008651968,0.002679319,0.00128384,0.001730394,0.011945297,0.000614011,0,0.00457717,0,0.00653084,0.00133966,0,0,0,0.008763606,0.00323751,0.020764722,0.006809936,0,0.00329333,0.00781468,0.003125872,0.00457717,0.002511862,0.011052191,0,0.002344404,0.006642478,0.000614011,0.003739883,0,0.002121128,0.007926319,0.001395479,0.005526095,0,0,0,0.006251744,0.00128384
